Date,Close,Volume
38415,1222.12,1636820000
38414,1210.47,1616240000
38413,1210.08,1568540000
38412,1210.41,1708060000
38411,1203.6,1795480000
38408,1211.37,1523680000
38407,1200.2,1518750000
38406,1190.8,1501090000
38405,1184.16,1744940000
38401,1201.59,1551200000
38400,1200.75,1580120000
38399,1210.34,1490100000
38398,1210.12,1527080000
38397,1206.14,1290180000
38394,1205.3,1562300000
38393,1197.01,1491670000
38392,1191.99,1511040000
38391,1202.3,1416170000
38390,1201.72,1347270000
38387,1203.03,1648160000
38386,1189.89,1554460000
38385,1193.19,1561740000
38384,1189.41,1681980000
38383,1181.27,1679800000
38380,1171.36,1641800000
38379,1174.55,1600600000
38378,1174.07,1635900000
38377,1168.41,1610400000
38376,1163.75,1494600000
38373,1167.87,1643500000
38372,1175.41,1692000000
38371,1184.63,1498700000
38370,1195.98,1596800000
38366,1184.52,1335400000
38365,1177.45,1510300000
38364,1187.7,1562100000
38363,1182.99,1488800000
38362,1190.25,1490400000
38359,1186.19,1477900000
38358,1187.89,1569100000
38357,1183.74,1738900000
38356,1188.05,1721000000
38355,1202.08,1510800000
38352,1211.92,786900000
38351,1213.55,829800000
38350,1213.45,925900000
38349,1213.54,983000000
38348,1204.92,922000000
38344,1210.13,956100000
38343,1209.57,1390800000
38342,1205.45,1483700000
38341,1194.65,1422800000
38338,1194.2,2335000000
38337,1203.21,1793900000
38336,1205.72,1695800000
38335,1203.38,1544400000
38334,1198.68,1436100000
38331,1188,1443700000
38330,1189.24,1624700000
38329,1182.81,1525200000
38328,1177.07,1533900000
38327,1190.25,1354400000
38324,1191.17,1566700000
38323,1190.33,1774900000
38322,1191.37,1772800000
38321,1173.82,1553500000
38320,1178.57,1378500000
38317,1182.65,504580000
38315,1181.76,1149600000
38314,1176.94,1428300000
38313,1177.24,1392700000
38310,1170.34,1526600000
38309,1183.55,1456700000
38308,1181.94,1684200000
38307,1175.43,1364400000
38306,1183.81,1453300000
38303,1184.17,1531600000
38302,1173.48,1393000000
38301,1162.91,1504300000
38300,1164.08,1450800000
38299,1164.89,1358700000
38296,1166.17,1724400000
38295,1161.67,1782700000
38294,1143.2,1767500000
38293,1130.56,1659000000
38292,1130.51,1395900000
38289,1130.2,1500800000
38288,1127.44,1628200000
38287,1125.4,1741900000
38286,1111.09,1685400000
38285,1094.8,1380500000
